"","quad","year","track_id","basalArea_genet","logsize_t0","logsize_t1","survives","size_t1"
"58","e1q4-2",45,"SPOASP_36_1",65.4611656935976,4.18145707663824,4.01766199468151,1,55.5710284651618
"59","e1q4-2",46,"SPOASP_36_1",55.5710284651618,4.01766199468151,4.45775587889919,1,86.2936382683805
"60","e1q4-2",47,"SPOASP_36_1",86.2936382683805,4.45775587889919,4.32156975759972,1,75.3067488988014
"61","e1q4-2",48,"SPOASP_36_1",75.3067488988014,4.32156975759972,4.29852156516931,1,73.5909138632791
"62","e1q4-2",49,"SPOASP_36_1",73.5909138632791,4.29852156516931,4.61031123890385,1,100.515429080414
"63","e1q4-2",50,"SPOASP_36_1",100.515429080414,4.61031123890385,4.66193971808955,1,105.841185232893
"64","e1q4-2",51,"SPOASP_36_1",105.841185232893,4.66193971808955,4.80315057024002,1,121.893848319693
"65","e1q4-2",52,"SPOASP_36_1",121.893848319693,4.80315057024002,4.88379439086694,1,132.131070844104
"66","e1q4-2",53,"SPOASP_36_1",132.131070844104,4.88379439086694,4.41480531164695,1,82.6657452815412
"67","e1q4-2",54,"SPOASP_36_1",82.6657452815412,4.41480531164695,4.64686420720355,1,104.257542398023
"68","e1q4-2",55,"SPOASP_36_1",104.257542398023,4.64686420720355,3.81614256311901,1,45.4286318210884
"69","e1q4-2",56,"SPOASP_36_1",45.4286318210884,3.81614256311901,3.85712636117554,1,47.3291488844446
"70","e1q4-2",57,"SPOASP_36_1",47.3291488844446,3.85712636117554,3.21615571384565,1,24.9320896281841
"71","e1q4-2",58,"SPOASP_36_1",24.9320896281841,3.21615571384565,NA,0,NA
"72","e1q4a-1",36,"SPOASP_36_1",27.990684597192,3.3318717618632,4.03733469661424,1,56.6750850250691
"73","e1q4a-1",37,"SPOASP_36_1",56.6750850250691,4.03733469661424,4.41355988197401,1,82.5628549940399
"74","e1q4a-1",38,"SPOASP_36_1",82.5628549940399,4.41355988197401,4.28457492569969,1,72.5716918012881
"75","e1q4a-1",39,"SPOASP_36_1",72.5716918012881,4.28457492569969,4.78452087921789,1,119.644025410091
"76","e1q4a-1",40,"SPOASP_36_1",119.644025410091,4.78452087921789,4.75466170184471,1,116.124361861284
"77","e1q4a-1",41,"SPOASP_36_1",116.124361861284,4.75466170184471,5.74778245471196,1,313.494700214118
"78","e1q4a-1",42,"SPOASP_36_1",313.494700214118,5.74778245471196,5.1417650735142,1,171.017360290141
"79","e1q4a-1",43,"SPOASP_36_1",171.017360290141,5.1417650735142,5.29997071627947,1,200.330943453533
"80","e1q4a-1",44,"SPOASP_36_1",200.330943453533,5.29997071627947,4.6326622469455,1,102.787345474372
"81","e1q4a-1",45,"SPOASP_36_1",102.787345474372,4.6326622469455,4.65262534559147,1,104.859918046393
"82","e1q4a-1",46,"SPOASP_36_1",104.859918046393,4.65262534559147,4.75600270712994,1,116.280189703913
"83","e1q4a-1",47,"SPOASP_36_1",116.280189703913,4.75600270712994,5.40295651638041,1,222.061976510295
"84","e1q4a-1",48,"SPOASP_36_1",222.061976510295,5.40295651638041,4.93007622459081,1,138.390060663681
"85","e1q4a-1",49,"SPOASP_36_1",138.390060663681,4.93007622459081,4.66020716905709,1,105.65796895125
"86","e1q4a-1",50,"SPOASP_36_1",105.65796895125,4.66020716905709,4.11791080430325,1,61.4307672118879
"87","e1q4a-1",51,"SPOASP_36_1",61.4307672118879,4.11791080430325,5.1829368813924,1,178.205411366746
"88","e1q4a-1",53,"SPOASP_36_1",178.205411366746,5.1829368813924,4.7075015274241,1,110.775045455262
"89","e1q4a-1",54,"SPOASP_36_1",110.775045455262,4.7075015274241,4.86944813711925,1,130.249017460978
"90","e1q4a-1",55,"SPOASP_36_1",130.249017460978,4.86944813711925,3.8584404311499,1,47.3913835793221
"91","e1q4a-1",56,"SPOASP_36_1",47.3913835793221,3.8584404311499,3.90261495097707,1,49.5318031416101
"92","e1q4a-1",57,"SPOASP_36_1",49.5318031416101,3.90261495097707,4.32349810464152,1,75.4521065502235
"93","e1q4a-1",58,"SPOASP_36_1",75.4521065502235,4.32349810464152,NA,0,NA
"94","e1q4a-1",40,"SPOASP_40_1",3.551595715854,1.26739699991728,NA,0,NA
"95","e1q4a-1",42,"SPOASP_42_1",18.3299133054274,2.90853433218562,NA,0,NA
"96","e1q4a-1",42,"SPOASP_42_2",0.685160417808001,-0.378102281556285,NA,0,NA
"97","e1q4a-1",43,"SPOASP_43_1",14.2233247504205,2.6548832050927,NA,0,NA
"98","e1q4a-1",46,"SPOASP_46_1",14.341432095755,2.66315269739254,3.68939057033537,1,40.0204498745435
"99","e1q4a-1",47,"SPOASP_46_1",40.0204498745435,3.68939057033537,4.20027629268636,1,66.7047585320455
"100","e1q4a-1",48,"SPOASP_46_1",66.7047585320455,4.20027629268636,3.72312129736709,1,41.3933937717195
"101","e1q4a-1",49,"SPOASP_46_1",41.3933937717195,3.72312129736709,3.97776801536873,1,53.3977182348485
"102","e1q4a-1",50,"SPOASP_46_1",53.3977182348485,3.97776801536873,NA,0,NA
"103","e1q4a-1",54,"SPOASP_54_1",99.3941091108085,4.59909284742753,1.35470640826171,1,3.8756229387095
"104","e1q4a-1",55,"SPOASP_54_1",3.8756229387095,1.35470640826171,NA,0,NA
"105","e1q4a-1",60,"SPOASP_60_1",86.3457081309436,4.45835910018366,NA,0,NA
"106","e1q4a-1",61,"SPOASP_61_1",23.0746248651141,3.13873352305694,NA,0,NA
"107","e1q4a-1",61,"SPOASP_61_2",46.094457405626,3.83069271296153,NA,0,NA
"108","e1q5-1",35,"SPOASP_35_1",48.268916049683,3.8767877934369,2.99523824404723,1,19.9901218501145
"109","e1q5-1",36,"SPOASP_35_1",19.9901218501145,2.99523824404723,3.10136341435032,1,22.2282369280175
"110","e1q5-1",37,"SPOASP_35_1",22.2282369280175,3.10136341435032,4.35247347202844,1,77.6703409407384
"111","e1q5-1",38,"SPOASP_35_1",77.6703409407384,4.35247347202844,4.11753495969131,1,61.40768312731
"112","e1q5-1",39,"SPOASP_35_1",61.40768312731,4.11753495969131,2.95902300316131,1,19.279126905283
"113","e1q5-1",40,"SPOASP_35_1",19.279126905283,2.95902300316131,NA,0,NA
"114","e1q5-1",37,"SPOASP_37_1",2.4749828167595,0.906233453273118,2.95053482864784,1,19.1161748726665
"115","e1q5-1",38,"SPOASP_37_1",19.1161748726665,2.95053482864784,3.18198781933805,1,24.0946016947685
"116","e1q5-1",39,"SPOASP_37_1",24.0946016947685,3.18198781933805,NA,0,NA
"117","e1q5-1",37,"SPOASP_37_2",17.4417622654805,2.85886746070849,2.0052332235447,1,7.42782603868001
"118","e1q5-1",38,"SPOASP_37_2",7.42782603868001,2.0052332235447,3.83281231614418,1,46.192262982133
"119","e1q5-1",39,"SPOASP_37_2",46.192262982133,3.83281231614418,2.35033279270908,1,10.4890598265905
"120","e1q5-1",40,"SPOASP_37_2",10.4890598265905,2.35033279270908,2.73572901071465,1,15.4209813998045
"121","e1q5-1",41,"SPOASP_37_2",15.4209813998045,2.73572901071465,3.95292047644322,1,52.0872645491272
"122","e1q5-1",43,"SPOASP_37_2",52.0872645491272,3.95292047644322,3.46191521254864,1,31.8779711775759
"123","e1q5-1",44,"SPOASP_37_2",31.8779711775759,3.46191521254864,3.90848992970333,1,49.8236579121686
"124","e1q5-1",46,"SPOASP_37_2",49.8236579121686,3.90848992970333,5.07723794555236,1,160.330601936325
"125","e1q5-1",48,"SPOASP_37_2",160.330601936325,5.07723794555236,4.64838097218548,1,104.415796574292
"126","e1q5-1",49,"SPOASP_37_2",104.415796574292,4.64838097218548,4.04430685203843,1,57.071613248445
"127","e1q5-1",50,"SPOASP_37_2",57.071613248445,4.04430685203843,3.92079896400414,1,50.4407290099185
"128","e1q5-1",51,"SPOASP_37_2",50.4407290099185,3.92079896400414,4.01273203244732,1,55.2977395989211
"129","e1q5-1",52,"SPOASP_37_2",55.2977395989211,4.01273203244732,4.29205548284536,1,73.1166040716065
"130","e1q5-1",53,"SPOASP_37_2",73.1166040716065,4.29205548284536,3.16719538876861,1,23.740807163919
"131","e1q5-1",54,"SPOASP_37_2",23.740807163919,3.16719538876861,4.66086152798172,1,105.727129811737
"132","e1q5-1",55,"SPOASP_37_2",105.727129811737,4.66086152798172,4.40671488451907,1,81.9996422556756
"133","e1q5-1",56,"SPOASP_37_2",81.9996422556756,4.40671488451907,4.54802060376029,1,94.4452785448308
"134","e1q5-1",57,"SPOASP_37_2",94.4452785448308,4.54802060376029,4.58310335059752,1,97.8174856167861
"135","e1q5-1",58,"SPOASP_37_2",97.8174856167861,4.58310335059752,4.20249000364828,1,66.8525871517683
"136","e1q5-1",60,"SPOASP_37_2",66.8525871517683,4.20249000364828,2.6641292155846,1,14.3554436052302
"137","e1q5-1",62,"SPOASP_37_2",14.3554436052302,2.6641292155846,NA,0,NA
"138","e1q5-1",40,"SPOASP_40_1",11.3696630591285,2.4309486731218,NA,0,NA
"139","e1q5-1",41,"SPOASP_41_1",1.2168645388075,0.196277500339013,NA,0,NA
"140","e1q5-1",42,"SPOASP_42_1",2.6113105753265,0.959852231446859,NA,0,NA
"141","e1q5-1",43,"SPOASP_43_1",13.410871060701,2.59606565123929,1.77381579324531,1,5.89329811902699
"142","e1q5-1",44,"SPOASP_43_1",5.89329811902699,1.77381579324531,3.39637241171942,1,29.8555995457845
"143","e1q5-1",45,"SPOASP_43_1",29.8555995457845,3.39637241171942,3.92924009100812,1,50.8683076938131
"144","e1q5-1",46,"SPOASP_43_1",50.8683076938131,3.92924009100812,4.49854435897615,1,89.8861939933293
"145","e1q5-1",47,"SPOASP_43_1",89.8861939933293,4.49854435897615,4.23977666120999,1,69.3923521040189
