"quad","track_id","year","size_t0","survives","size_t1","logsize_t0","logsize_t1","logsize_t0_2","logsize_t0_3"
"e1q4-1","SPOASP_41_1",52,181.748916393165,1,216.977284861531,5.20262615432249,5.37979267000387,27.0673189016404,140.821141245062
"e1q4-1","SPOASP_41_1",53,216.977284861531,1,181.10706659368,5.37979267000387,5.1990883845239,28.9421691722274,155.702869566761
"e1q4-1","SPOASP_41_1",54,181.10706659368,1,271.263447857606,5.1990883845239,5.60309048098098,27.0305200300913,140.534062716088
"e1q4-1","SPOASP_41_1",55,271.263447857606,1,204.295633906861,5.60309048098098,5.31956813060579,31.3946229380597,175.906912938229
"e1q4-1","SPOASP_41_1",56,204.295633906861,1,283.745907696871,5.31956813060579,5.64807914647794,28.2978050961568,150.53210215561
"e1q4-1","SPOASP_41_1",57,283.745907696871,1,122.417485432174,5.64807914647794,4.80743721471347,31.900798044879,180.178232193285
"e1q4-1","SPOASP_41_1",58,122.417485432174,1,202.050469601933,4.80743721471347,5.30851751570853,23.111452573412,111.106857187506
"e1q4-1","SPOASP_41_1",59,202.050469601933,1,107.350281174908,5.30851751570853,4.67609714355665,28.1803582145843,149.595925181062
"e1q4-1","SPOASP_41_1",60,107.350281174908,1,261.586232300454,4.67609714355665,5.5667639893772,21.8658844959786,102.247000032985
"e1q4-1","SPOASP_41_1",61,261.586232300454,0,NA,5.5667639893772,NA,30.9888613134268,172.507677231389
"e1q4-1","SPOASP_51_1",51,0.723880066701448,0,NA,-0.323129554045797,NA,0.104412708697835,-0.0337388319982452
"e1q4-1","SPOASP_64_1",64,48.1627405798305,1,172.098020242725,3.87458570510887,5.14806419962271,15.012414386234,58.1668861800732
"e1q4-1","SPOASP_64_1",65,172.098020242725,1,127.161301919707,5.14806419962271,4.84545637442765,26.502565003437,136.436906092368
"e1q4-1","SPOASP_64_1",66,127.161301919707,1,150.017275530449,4.84545637442765,5.01075045766767,23.4784474764815,113.763792986582
"e1q4-1","SPOASP_64_1",67,150.017275530449,0,NA,5.01075045766767,NA,25.1076201490168,125.808019152632
"e1q4-1","SPOASP_65_1",65,24.56714569426,0,NA,3.201410009425,NA,10.2490260484466,32.8113345783544
"e1q4-1","SPOASP_70_1",70,8.15102219814998,0,NA,2.09814334247384,NA,4.4022054855673,9.23645813174485
"e1q4-1","SPOASP_70_2",70,47.7359841296554,0,NA,3.86568549775901,NA,14.9435243675843,57.7669654331792
"e1q4-1","SPOASP_70_3",70,10.6290217722435,0,NA,2.36358816293052,NA,5.58654900394527,13.2043010973563
"e1q4-2","SPOASP_36_1",36,5.6095651395475,1,26.8697817087835,1.72447320129797,3.29100229861909,2.97380782199487,5.12825189484043
"e1q4-2","SPOASP_36_1",37,26.8697817087835,1,43.6768951995747,3.29100229861909,3.77681924831449,10.8306961295162,35.6438458578826
"e1q4-2","SPOASP_36_1",38,43.6768951995747,1,59.2399073740853,3.77681924831449,4.0815954258279,14.2643636344388,53.8739231395057
"e1q4-2","SPOASP_36_1",40,59.2399073740853,1,57.390935645621,4.0815954258279,4.04988637527403,16.6594212201393,67.9970174490608
"e1q4-2","SPOASP_36_1",41,57.390935645621,1,43.8178668611881,4.04988637527403,3.78004165341119,16.4015796526302,66.4245339681587
"e1q4-2","SPOASP_36_1",42,43.8178668611881,1,124.262269352105,3.78004165341119,4.82239440740219,14.2887149015236,54.0119375014763
"e1q4-2","SPOASP_36_1",43,124.262269352105,1,48.9466563796768,4.82239440740219,3.89073105979318,23.2554878205439,112.147134407201
"e1q4-2","SPOASP_36_1",44,48.9466563796768,1,65.4611656935976,3.89073105979318,4.18145707663824,15.1377881796394,58.8970626470929
"e1q4-2","SPOASP_36_1",45,65.4611656935976,1,55.5710284651618,4.18145707663824,4.01766199468151,17.484583283768,73.1110345039826
"e1q4-2","SPOASP_36_1",46,55.5710284651618,1,86.2936382683805,4.01766199468151,4.45775587889919,16.1416079035082,64.8515246069758
"e1q4-2","SPOASP_36_1",47,86.2936382683805,1,75.3067488988014,4.45775587889919,4.32156975759972,19.8715874758603,88.582685893576
"e1q4-2","SPOASP_36_1",48,75.3067488988014,1,73.5909138632791,4.32156975759972,4.29852156516931,18.6759651698005,80.7094862717954
