"","quad","year","track_id","size_t0","logsize_t0","survives","size_t1"
"100","gzgz_19",2000,"SITHYS_2000_9",0.000353873186982567,-7.94657193787259,1,0.00162454444331359
"109","gzgz_19",2001,"SITHYS_2001_7",0.000211375830164245,-8.4618728233056,1,0.000771545964369131
"116","gzgz_24",1997,"SITHYS_1997_1",0.00232734822905471,-6.06302575864928,1,0.00167953337097271
"117","gzgz_24",1998,"SITHYS_1997_1",0.00167953337097271,-6.38923927952152,1,0.00149162907474207
"118","gzgz_24",1999,"SITHYS_1997_1",0.00149162907474207,-6.50788641753121,1,0.000411811254865367
"120","gzgz_24",1997,"SITHYS_1997_2",0.00166590821065902,-6.39738483239815,1,0.00157788489685986
"121","gzgz_24",1998,"SITHYS_1997_2",0.00157788489685986,-6.45167000163976,1,0.000411530536290429
"123","gzgz_24",1997,"SITHYS_1997_3",0.000826419921831167,-7.09840753368372,1,0.000666033545215445
"125","gzgz_24",1998,"SITHYS_1998_1",2.49999999999994e-05,-10.5966347330961,1,0.000597328370564615
"126","gzgz_24",1999,"SITHYS_1998_1",0.000597328370564615,-7.42304356133858,1,0.00133414618520251
"129","gzgz_24",2001,"SITHYS_2001_2",0.000668152246400298,-7.31099449662313,1,0.000447423844490584
"135","gzgz_7",1997,"SITHYS_1997_1",0.00244560097534957,-6.01346438856962,1,0.00188934532219083
"136","gzgz_7",1998,"SITHYS_1997_1",0.00188934532219083,-6.27152490029281,1,0.00456241485989045
"138","gzgz_7",1998,"SITHYS_1998_1",0.000297750800103239,-8.11925366256794,1,0.000830852282315197
"140","gzgz_7",1998,"SITHYS_1998_10",0.000668873078454932,-7.30991623413838,1,0.00209931571497431
"141","gzgz_7",1999,"SITHYS_1998_10",0.00209931571497431,-6.16614383736564,1,0.00129460339944384
"145","gzgz_7",1998,"SITHYS_1998_13",2.49999999999998e-05,-10.5966347330961,1,0.00286713739116702
"146","gzgz_7",1999,"SITHYS_1998_13",0.00286713739116702,-5.8544411716501,1,0.00481619348822573
"149","gzgz_7",1998,"SITHYS_1998_2",0.00085353059155573,-7.06612917389322,1,0.000983343513947887
"150","gzgz_7",1999,"SITHYS_1998_2",0.000983343513947887,-6.92455204418477,1,0.00142008711356703
"152","gzgz_7",1998,"SITHYS_1998_3",0.00103208478536779,-6.87617445893328,1,0.00108241467792779
"154","gzgz_7",1998,"SITHYS_1998_4",0.000761483899993276,-7.18024152834334,1,0.00147821878770204
"157","gzgz_7",1998,"SITHYS_1998_6",0.00132622852474428,-6.62541606063143,1,0.00363704140800385
"158","gzgz_7",1999,"SITHYS_1998_6",0.00363704140800385,-5.61658472783345,1,0.000598915752177548
"160","gzgz_7",1998,"SITHYS_1998_7",0.000416111954988029,-7.78455621134261,1,0.00274411929508899
"164","gzgz_7",1999,"SITHYS_1999_1",0.00258834453883372,-5.95673678182508,1,0.000445993800148697
"167","gzgz_7",2005,"SITHYS_2005_1",2.49999999999995e-05,-10.5966347330961,1,2.49999999999995e-05
"171","gzun_19",1997,"SITHYS_1997_1",0.0126561875042241,-4.36960905262537,1,0.0130510559876036
"172","gzun_19",1998,"SITHYS_1997_1",0.0130510559876036,-4.33888622989685,1,0.00059351713093098
"173","gzun_19",1999,"SITHYS_1997_1",0.00059351713093098,-7.42944448008347,1,0.00121253390001542
"174","gzun_19",2000,"SITHYS_1997_1",0.00121253390001542,-6.71504297676787,1,0.00221510153893003
"175","gzun_19",2001,"SITHYS_1997_1",0.00221510153893003,-6.11245703503233,1,0.000681609812023762
"177","gzun_19",1997,"SITHYS_1997_10",0.00958096719147516,-4.64797673265126,1,0.00730888444795743
"178","gzun_19",1998,"SITHYS_1997_10",0.00730888444795743,-4.91866462316455,1,0.00570425735115146
"179","gzun_19",1999,"SITHYS_1997_10",0.00570425735115146,-5.16654247922461,1,0.00180534350600134
"180","gzun_19",2000,"SITHYS_1997_10",0.00180534350600134,-6.31700439726958,1,0.00354339797262799
"181","gzun_19",2001,"SITHYS_1997_10",0.00354339797262799,-5.64266913295253,1,0.000421539983307883
"183","gzun_19",1997,"SITHYS_1997_11",0.00040529283424368,-7.8109007046154,1,0.000865064410888614
"185","gzun_19",1997,"SITHYS_1997_2",0.00972565801288579,-4.6329877297732,1,0.00253441881841425
"186","gzun_19",1998,"SITHYS_1997_2",0.00253441881841425,-5.97779093117672,1,0.00063886713544405
"188","gzun_19",1997,"SITHYS_1997_3",0.00841930744365575,-4.77722770545803,1,0.00269010046556138
"189","gzun_19",1998,"SITHYS_1997_3",0.00269010046556138,-5.91817673827346,1,0.00113826225123861
"192","gzun_19",1997,"SITHYS_1997_5",0.00191456971789296,-6.25826237199152,1,0.00151814163184481
"193","gzun_19",1998,"SITHYS_1997_5",0.00151814163184481,-6.49026830275048,1,0.000922789054861599
"194","gzun_19",2000,"SITHYS_1997_5",0.000922789054861599,-6.98810989252652,1,0.0031182907058837
"196","gzun_19",1997,"SITHYS_1997_6",0.0176174225481586,-4.03886694907425,1,0.0201543037917742
"197","gzun_19",1998,"SITHYS_1997_6",0.0201543037917742,-3.90433742571494,1,0.00385287250332295
"198","gzun_19",1999,"SITHYS_1997_6",0.00385287250332295,-5.55893630412102,1,0.000391498787129515
"199","gzun_19",2000,"SITHYS_1997_6",0.000391498787129515,-7.84552814054712,1,0.00341036074335365
"201","gzun_19",1997,"SITHYS_1997_7",0.0118964129232317,-4.43151835932787,1,0.00645333107250697
"202","gzun_19",1998,"SITHYS_1997_7",0.00645333107250697,-5.04315883613654,1,0.00341506546530823
"203","gzun_19",1999,"SITHYS_1997_7",0.00341506546530823,-5.67955861621392,1,0.00106157727668807
"205","gzun_19",1997,"SITHYS_1997_8",0.0157490698476498,-4.15097397274652,1,0.0108304369250051
"206","gzun_19",1998,"SITHYS_1997_8",0.0108304369250051,-4.52539487483058,1,0.00812459779862654
"207","gzun_19",1999,"SITHYS_1997_8",0.00812459779862654,-4.81285905369909,1,0.000468688348336862
"209","gzun_19",1997,"SITHYS_1997_9",0.00542532495312892,-5.21667748215523,1,0.00233473688759279
"211","gzun_19",1998,"SITHYS_1998_1",0.000560530100501166,-7.48662761394813,1,0.000660459403216908
"212","gzun_19",1999,"SITHYS_1998_1",0.000660459403216908,-7.32257489960486,1,0.000214630875601543
"214","gzun_19",1999,"SITHYS_1999_1",2.49999999999994e-05,-10.5966347330961,1,0.00124933547308792
"216","gzun_19",1999,"SITHYS_1999_2",2.49999999999994e-05,-10.5966347330961,1,0.00278045483557196
"218","gzun_19",1999,"SITHYS_1999_3",2.49999999999994e-05,-10.5966347330961,1,0.00139284896581543
"222","gzun_19",2000,"SITHYS_2000_2",0.00083037288145176,-7.09363570329718,1,0.000713463707566894
"224","gzun_19",2000,"SITHYS_2000_3",0.00111544869775826,-6.79849853550494,1,0.00168633896282643
"227","gzun_19",2000,"SITHYS_2000_5",0.00110968143948236,-6.80368229630515,1,0.00154739516702864
"235","gzun_19",2001,"SITHYS_2001_7",0.000766656775294047,-7.17347134658875,1,0.000220550023531334
